URL,2019 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2019","Job Outlook, 2019-29","Employment Change, 2019-29",Job_Title
https://www.bls.gov/ooh/production/power-plant-operators-distributors-and-dispatchers.htm,"$85,950 per year  $41.32 per hour",High school diploma or equivalent,None,Long-term on-the-job training,51700,-16% (Decline),-8100,"Power plant operators, distributors, and dispatchers"
https://www.bls.gov/ooh/architecture-and-engineering/electro-mechanical-technicians.htm,"$58,350 per year  $28.05 per hour",Associate's degree,None,None,14600,3% (As fast as average),400,Electro-mechanical technicians
https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,"$42,050 per year  $20.22 per hour",No formal educational credential,None,See How to Become One,123400,3% (As fast as average),4100,Hardwood finishers
https://www.bls.gov/ooh/management/postsecondary-education-administrators.htm,"$95,410 per year  $45.87 per hour",Master's degree,Less than 5 years,None,190500,4% (As fast as average),7100,Graduate studies deans
https://www.bls.gov/ooh/management/top-executives.htm,"$104,690 per year  $50.33 per hour",Bachelor's degree,5 years or more,None,2774300,4% (As fast as average),115000,Chief sustainability officers
https://www.bls.gov/ooh/arts-and-design/multimedia-artists-and-animators.htm,"$75,270 per year  $36.19 per hour",Bachelor's degree,None,None,67500,4% (As fast as average),2800,Motion graphics designers
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,"This wage is equal to or greater than $208,000 per year or $100.00 per hour.",Doctoral or professional degree,None,Internship/residency,752400,4% (As fast as average),27300,Immunologists
https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm,"$115,800 per year  $55.67 per hour",Master's degree,None,None,263400,45% (Much faster than average),117700,Certified nurse midwives
https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm,"$48,760 per year  $23.44 per hour",See How to Become One,None,Long-term on-the-job training,51900,0% (Little or no change),100,Fiber artists
https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm,"$115,800 per year  $55.67 per hour",Master's degree,None,None,263400,45% (Much faster than average),117700,Nurse midwives
https://www.bls.gov/ooh/construction-and-extraction/drywall-and-ceiling-tile-installers-and-tapers.htm,"$47,360 per year  $22.77 per hour",No formal educational credential,None,Moderate-term on-the-job training,146900,0% (Little or no change),-300,Acoustical ceiling installers
https://www.bls.gov/ooh/construction-and-extraction/roofers.htm,"$42,100 per year  $20.24 per hour",No formal educational credential,None,Moderate-term on-the-job training,161600,2% (Slower than average),3800,Slaters
https://www.bls.gov/ooh/education-training-and-library/adult-literacy-and-ged-teachers.htm,"$54,350 per year  $26.13 per hour",Bachelor's degree,None,None,59300,-10% (Decline),-6200,Adult remedial education instructors
https://www.bls.gov/ooh/healthcare/registered-nurses.htm,"$73,300 per year  $35.24 per hour",Bachelor's degree,None,None,3096700,7% (Faster than average),221900,Community health nurses
https://www.bls.gov/ooh/math/operations-research-analysts.htm,"$84,810 per year  $40.78 per hour",Bachelor's degree,None,None,105100,25% (Much faster than average),26100,Operations research analysts
https://www.bls.gov/ooh/media-and-communication/public-relations-specialists.htm,"$61,150 per year  $29.40 per hour",Bachelor's degree,None,None,274600,7% (Faster than average),19700,Public relations specialists
https://www.bls.gov/ooh/community-and-social-service/substance-abuse-behavioral-disorder-and-mental-health-counselors.htm,"$46,240 per year  $22.23 per hour",Bachelor's degree,None,None,319400,25% (Much faster than average),79000,Behavior disorder counselors
https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,"$23,520 per year  $11.31 per hour",High school diploma or equivalent,See How to Become One,See How to Become One,187300,10% (Much faster than average),19000,Roulette dealers
https://www.bls.gov/ooh/management/public-relations-managers.htm,"$116,180 per year  $55.86 per hour",Bachelor's degree,5 years or more,None,88000,9% (Much faster than average),8100,Communication managers
https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm,"$69,600 per year  $33.46 per hour",Bachelor's degree,See How to Become One,See How to Become One,526200,-7% (Decline),-37600,Procurement managers
https://www.bls.gov/ooh/media-and-communication/writers-and-authors.htm,"$63,200 per year  $30.39 per hour",Bachelor's degree,None,Long-term on-the-job training,131200,-2% (Decline),-3100,Poets
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,"Credit authorizers, checkers, and clerks"
https://www.bls.gov/ooh/management/farmers-ranchers-and-other-agricultural-managers.htm,"$71,160 per year  $34.21 per hour",High school diploma or equivalent,5 years or more,None,952300,-6% (Decline),-61600,Fish hatchery managers
