URL,2019 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2019","Job Outlook, 2019-29","Employment Change, 2019-29",Job_Title
https://www.bls.gov/ooh/construction-and-extraction/plumbers-pipefitters-and-steamfitters.htm,"$55,160 per year  $26.52 per hour",High school diploma or equivalent,None,Apprenticeship,490200,4% (As fast as average),20900,Pipefitters
https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm,"$45,510 per year  $21.88 per hour",See How to Become One,None,Short-term on-the-job training,140300,9% (Much faster than average),13200,Multimedia production assistants
https://www.bls.gov/ooh/arts-and-design/interior-designers.htm,"$56,040 per year  $26.94 per hour",Bachelor's degree,None,None,77900,-5% (Decline),-3800,Furniture arrangers
https://www.bls.gov/ooh/architecture-and-engineering/architects.htm,"$80,750 per year  $38.82 per hour",Bachelor's degree,None,Internship/residency,129900,1% (Slower than average),1100,Building architects
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,"$36,000 per year  $17.31 per hour",See How to Become One,None,Short-term on-the-job training,1643900,5% (Faster than average),81000,Bricklayer helpers
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,"$36,000 per year  $17.31 per hour",See How to Become One,None,Short-term on-the-job training,1643900,5% (Faster than average),81000,Sewer pipe layer helpers
https://www.bls.gov/ooh/business-and-financial/labor-relations-specialists.htm,"$69,020 per year  $33.18 per hour",Bachelor's degree,Less than 5 years,None,78900,-7% (Decline),-5400,Labor relations specialists
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,"$36,000 per year  $17.31 per hour",See How to Become One,None,Short-term on-the-job training,1643900,5% (Faster than average),81000,Plumber assistants
https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm,"$71,550 per year  $34.40 per hour",Bachelor's degree,None,None,1436100,4% (As fast as average),61700,Information technology auditors
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,"This wage is equal to or greater than $208,000 per year or $100.00 per hour.",Doctoral or professional degree,None,Internship/residency,752400,4% (As fast as average),27300,Gastroenterologists
https://www.bls.gov/ooh/media-and-communication/technical-writers.htm,"$72,850 per year  $35.03 per hour",Bachelor's degree,Less than 5 years,Short-term on-the-job training,58400,7% (Faster than average),4300,Documentation specialists
https://www.bls.gov/ooh/construction-and-extraction/insulation-workers.htm,"$44,180 per year  $21.24 per hour",See How to Become One,None,See How to Become One,61300,3% (As fast as average),1800,Pipe coverers
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,Loan closers
https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,"$24,990 per year  $12.02 per hour",High school diploma or equivalent,None,See How to Become One,350900,22% (Much faster than average),75500,Guide dog instructors
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,"This wage is equal to or greater than $208,000 per year or $100.00 per hour.",Doctoral or professional degree,None,Internship/residency,752400,4% (As fast as average),27300,General internists
https://www.bls.gov/ooh/office-and-administrative-support/material-recording-clerks.htm,"$30,010 per year  $14.43 per hour",High school diploma or equivalent,None,See How to Become One,3286000,-1% (Decline),-28100,Material recording clerks
https://www.bls.gov/ooh/food-preparation-and-serving/food-preparation-workers.htm,"$24,800 per year  $11.92 per hour",No formal educational credential,None,Short-term on-the-job training,886700,-1% (Decline),-9500,Food preparation workers
https://www.bls.gov/ooh/healthcare/physical-therapist-assistants-and-aides.htm,"$48,990 per year  $23.55 per hour",See How to Become One,None,See How to Become One,149300,29% (Much faster than average),43000,Physical therapy technicians
https://www.bls.gov/ooh/media-and-communication/announcers.htm,"$39,790 per year  $19.13 per hour",See How to Become One,None,See How to Become One,76000,1% (Slower than average),700,Ringmasters
https://www.bls.gov/ooh/education-training-and-library/career-and-technical-education-teachers.htm,"$58,110 per year",Bachelor's degree,Less than 5 years,None,209700,2% (Slower than average),3400,Barbering instructors
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,Billing and posting clerks and machine operators
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,"$36,000 per year  $17.31 per hour",See How to Become One,None,Short-term on-the-job training,1643900,5% (Faster than average),81000,Dry plasterer helpers
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,Mail order clerks
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,Reservation agents
https://www.bls.gov/ooh/healthcare/emts-and-paramedics.htm,"$35,400 per year  $17.02 per hour",Postsecondary nondegree award,None,None,265200,6% (Faster than average),17000,Paramedics
https://www.bls.gov/ooh/business-and-financial/financial-analysts.htm,"$81,590 per year  $39.22 per hour",Bachelor's degree,None,None,487800,5% (Faster than average),26800,Ratings analysts
https://www.bls.gov/ooh/architecture-and-engineering/landscape-architects.htm,"$69,360 per year  $33.35 per hour",Bachelor's degree,None,Internship/residency,24500,-2% (Decline),-600,"Architects, landscape"
https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm,"$46,500 per year  $22.35 per hour",See How to Become One,None,See How to Become One,302100,-3% (Decline),-10000,Apprentice brickmasons
https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,"$23,520 per year  $11.31 per hour",High school diploma or equivalent,See How to Become One,See How to Become One,187300,10% (Much faster than average),19000,Card table attendants
https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm,"$46,500 per year  $22.35 per hour",See How to Become One,None,See How to Become One,302100,-3% (Decline),-10000,Cement patchers
https://www.bls.gov/ooh/transportation-and-material-moving/water-transportation-occupations.htm,"$57,330 per year  $27.56 per hour",See How to Become One,See How to Become One,See How to Become One,81900,0% (Little or no change),200,Water transportation workers
https://www.bls.gov/ooh/healthcare/veterinary-technologists-and-technicians.htm,"$35,320 per year  $16.98 per hour",Associate's degree,None,None,112900,16% (Much faster than average),18300,Registered veterinary technicians
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,"This wage is equal to or greater than $208,000 per year or $100.00 per hour.",Doctoral or professional degree,None,Internship/residency,752400,4% (As fast as average),27300,Child psychiatrists
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,"$33,710 per year  $16.21 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-11% (Decline),-204300,Electric sign assemblers
https://www.bls.gov/ooh/construction-and-extraction/hazardous-materials-removal-workers.htm,"$43,900 per year  $21.11 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,45300,8% (Much faster than average),3700,Decommissioning and decontamination (D&D) workers
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,Payroll bookkeepers
https://www.bls.gov/ooh/management/top-executives.htm,"$104,690 per year  $50.33 per hour",Bachelor's degree,5 years or more,None,2774300,4% (As fast as average),115000,Superintendents
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,Election clerks
https://www.bls.gov/ooh/management/human-resources-managers.htm,"$116,720 per year  $56.11 per hour",Bachelor's degree,5 years or more,None,165200,6% (Faster than average),10400,Payroll managers
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,"This wage is equal to or greater than $208,000 per year or $100.00 per hour.",Doctoral or professional degree,None,Internship/residency,752400,4% (As fast as average),27300,Radiologists
https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineers.htm,"$101,250 per year  $48.68 per hour",Bachelor's degree,None,None,328100,3% (As fast as average),10800,Electronic parts designers
https://www.bls.gov/ooh/education-training-and-library/librarians.htm,"$59,500 per year  $28.61 per hour",Bachelor's degree,None,None,146500,5% (Faster than average),7300,Catalog librarians
https://www.bls.gov/ooh/architecture-and-engineering/mechanical-engineers.htm,"$88,430 per year  $42.51 per hour",Bachelor's degree,None,None,316300,4% (As fast as average),12400,Tool and die engineers
https://www.bls.gov/ooh/media-and-communication/technical-writers.htm,"$72,850 per year  $35.03 per hour",Bachelor's degree,Less than 5 years,Short-term on-the-job training,58400,7% (Faster than average),4300,Technical illustrators
https://www.bls.gov/ooh/construction-and-extraction/glaziers.htm,"$44,630 per year  $21.46 per hour",High school diploma or equivalent,None,Apprenticeship,52800,4% (As fast as average),2100,Leaded glass installers
https://www.bls.gov/ooh/healthcare/nursing-assistants.htm,"$29,640 per year  $14.25 per hour",See How to Become One,None,See How to Become One,1579100,8% (Much faster than average),119500,Nursing care attendants
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,"$33,710 per year  $16.21 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-11% (Decline),-204300,Aircraft part assemblers
https://www.bls.gov/ooh/management/human-resources-managers.htm,"$116,720 per year  $56.11 per hour",Bachelor's degree,5 years or more,None,165200,6% (Faster than average),10400,Position description managers
https://www.bls.gov/ooh/architecture-and-engineering/drafters.htm,"$56,830 per year  $27.32 per hour",Associate's degree,None,None,200900,-4% (Decline),-7100,Printed circuit board drafters
https://www.bls.gov/ooh/life-physical-and-social-science/forensic-science-technicians.htm,"$59,150 per year  $28.44 per hour",Bachelor's degree,None,Moderate-term on-the-job training,17200,14% (Much faster than average),2400,Forensic science technicians
https://www.bls.gov/ooh/management/top-executives.htm,"$104,690 per year  $50.33 per hour",Bachelor's degree,5 years or more,None,2774300,4% (As fast as average),115000,Board chairmen
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,License clerks
https://www.bls.gov/ooh/business-and-financial/compensation-benefits-and-job-analysis-specialists.htm,"$64,560 per year  $31.04 per hour",Bachelor's degree,Less than 5 years,None,94400,8% (Much faster than average),7500,Retirement plan specialists
https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm,"$115,800 per year  $55.67 per hour",Master's degree,None,None,263400,45% (Much faster than average),117700,Electrophysiology nurse practitioners
https://www.bls.gov/ooh/media-and-communication/writers-and-authors.htm,"$63,200 per year  $30.39 per hour",Bachelor's degree,None,Long-term on-the-job training,131200,-2% (Decline),-3100,Program writers
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,Student loan correspondents
https://www.bls.gov/ooh/healthcare/registered-nurses.htm,"$73,300 per year  $35.24 per hour",Bachelor's degree,None,None,3096700,7% (Faster than average),221900,Critical care nurses
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,Reservation and transportation ticket agents and travel clerks
https://www.bls.gov/ooh/entertainment-and-sports/music-directors-and-composers.htm,"$51,670 per year  $24.84 per hour",Bachelor's degree,Less than 5 years,None,58000,2% (Slower than average),1000,Music directors and composers
